URL_ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Average_Sentence_Length,Percentage_of_Complex_Words,Fog_Index,Complex_Word_Count,Word_Count,Syllable_Count_Per_Word,Personal_Pronoun,Average_Word_Length
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,64,32,0.33333333,0.099276112,23.45454545,0.121816168,9.430544649,220,967,2,1,5.61683278
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,38,0.208333331,0.170212766,20.7,0.064182195,8.305672878,93,564,1,6,4.730848861
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,37,0.26732673,0.124078624,20.21176471,0.132130384,8.137558036,227,814,2,2,5.340512224
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59,27,0.372093019,0.140065146,19.43373494,0.072535648,7.802508235,117,614,2,17,4.765654061
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,56,24,0.399999995,0.101651842,21.59756098,0.080745342,8.671322527,143,787,2,12,4.950310559
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,22,0.312499995,0.117216117,23.08928571,0.069605568,9.263556513,90,546,2,18,4.883990719
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.333333323,0.100609756,16.10869565,0.091767881,6.480185413,68,328,2,7,5.078272605
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.422222213,0.144694533,20.33333333,0.098360656,8.172677596,72,311,1,2,4.672131148
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,33,0.312499997,0.101802757,25.73255814,0.086308179,10.32754653,191,943,2,9,4.834613647
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,43,54,-0.113402061,0.104301075,19.58,0.103677222,7.873470889,203,930,2,0,4.907048008
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,24,0.157894734,0.0964467,22.05454545,0.141797197,8.878537061,172,591,2,8,5.429513603
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,29,0,0.098807496,17.19178082,0.078884462,6.908266114,99,587,2,6,4.886055777
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,56,24,0.399999995,0.122699386,21.50632911,0.080635668,8.634785913,137,652,1,22,4.759270159
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,60,20,0.499999994,0.113314447,19.45783133,0.094736842,7.821027267,153,706,2,11,5.00123839
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.999999958,0.098360655,23.13636364,0.141453831,9.311126987,72,244,2,0,5.442043222
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75,39,0.315789471,0.163090129,232.375,0.077461001,92.9809844,144,699,2,15,4.665411512
